Line_Item_ID,Date,Credit_Card_Number,Quantity,Menu_Item
1,1/1/2017,7437926611570790,1,spicy miso ramen
2,1/1/2017,7437926611570790,1,spicy miso ramen
3,1/1/2017,8421920068932810,3,tori paitan ramen
4,1/1/2017,8421920068932810,3,tori paitan ramen
5,1/1/2017,4787310681569640,1,truffle butter ramen
6,1/1/2017,4787310681569640,1,truffle butter ramen
7,1/1/2017,8252818705821720,1,tonkotsu ramen
8,1/1/2017,8252818705821720,1,tonkotsu ramen
9,1/1/2017,3119034881407320,1,vegetarian spicy miso
10,1/1/2017,3119034881407320,1,vegetarian spicy miso
11,1/1/2017,5185620052605560,1,shio ramen
12,1/1/2017,5185620052605560,1,shio ramen
13,1/1/2017,1625774198697850,1,tori paitan ramen
14,1/1/2017,1625774198697850,1,tori paitan ramen
15,1/1/2017,505248472056578,1,vegetarian spicy miso
16,1/1/2017,505248472056578,1,vegetarian spicy miso
17,1/1/2017,5010864392617680,1,spicy miso ramen
18,1/1/2017,5010864392617680,1,spicy miso ramen
19,1/1/2017,1792739336416380,2,truffle butter ramen
20,1/1/2017,1792739336416380,2,truffle butter ramen
21,1/1/2017,761559936834947,2,tonkotsu ramen
22,1/1/2017,761559936834947,2,tonkotsu ramen
23,1/1/2017,9019899875381260,1,truffle butter ramen
24,1/1/2017,9019899875381260,1,truffle butter ramen
25,1/1/2017,8390952377142810,2,tori paitan ramen
26,1/1/2017,8390952377142810,2,tori paitan ramen
27,1/1/2017,8413275554809490,1,spicy miso ramen
28,1/1/2017,8413275554809490,1,spicy miso ramen
29,1/1/2017,9297729736590970,1,vegetarian spicy miso
30,1/1/2017,9297729736590970,1,vegetarian spicy miso
31,1/1/2017,4842259280240040,1,vegetarian spicy miso
32,1/1/2017,4842259280240040,1,vegetarian spicy miso
33,1/1/2017,6233521625518920,4,tonkotsu ramen
34,1/1/2017,6233521625518920,4,tonkotsu ramen
35,1/1/2017,2641214109762940,4,miso crab ramen
36,1/1/2017,2641214109762940,4,miso crab ramen
37,1/1/2017,9499629855503500,1,miso crab ramen
38,1/1/2017,9499629855503500,1,miso crab ramen
39,1/1/2017,5567347994803330,1,nagomi shoyu
40,1/1/2017,5567347994803330,1,nagomi shoyu
41,1/1/2017,2210478832955280,1,truffle butter ramen
42,1/1/2017,2210478832955280,1,truffle butter ramen
43,1/1/2017,6129806465248350,1,tori paitan ramen
44,1/1/2017,6129806465248350,1,tori paitan ramen
45,1/1/2017,4567545741772660,1,truffle butter ramen
46,1/1/2017,4567545741772660,1,truffle butter ramen
47,1/1/2017,8666977854387550,1,vegetarian spicy miso
48,1/1/2017,8666977854387550,1,vegetarian spicy miso
49,1/1/2017,9447156482236950,1,soft-shell miso crab ramen
50,1/1/2017,9447156482236950,1,soft-shell miso crab ramen
51,1/1/2017,9720247648273410,3,nagomi shoyu
52,1/1/2017,9720247648273410,3,nagomi shoyu
53,1/1/2017,5076973123462630,1,tori paitan ramen
54,1/1/2017,5076973123462630,1,tori paitan ramen
55,1/1/2017,6759299745892850,1,shio ramen
56,1/1/2017,6759299745892850,1,shio ramen
57,1/1/2017,2925610854460090,2,nagomi shoyu
58,1/1/2017,2925610854460090,2,nagomi shoyu
